Designator,Mid X,Mid Y,Rotation,Layer
A1,92.6,-51.4525,0.0,top
C1,72.5,-39.1,0.0,top
C2,75.6,-76.8,0.0,top
HEADER PINS1,41.88,-44.93,180.0,top
J1,95.54,-98.1,0.0,top
J2,65.83,-33.8,90.0,top
J3,95.215,-86.195,0.0,top
R1,60.2,-43.34,0.0,top
R10,60.2,-95.0491,0.0,top
R11,60.2,-100.7945,0.0,top
R12,60.2,-106.54,0.0,top
R2,60.2,-49.0855,0.0,top
R3,60.2,-54.8309,0.0,top
R4,60.2,-60.5764,0.0,top
R5,60.2,-66.3218,0.0,top
R6,60.2,-72.0673,0.0,top
R7,60.2,-77.8127,0.0,top
R8,60.2,-83.5582,0.0,top
R9,60.2,-89.3036,0.0,top
U1,72.29,-55.07,0.0,top
U2,72.89,-93.29,0.0,top
U3,38.48,-44.93,180.0,top
